Barrio,Tipologia,Tipo de alquiler,Unidad,Valor bajo,Valor alto,Categoria de dato,Fuente,Fecha de actualizacion,Notas
Ciudad Nueva,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bernardino Caballero,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburicaó,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,1 dormitorio,Amoblado (largo plazo),USD/mes,650,650,C,InfoCasas — a metros de Shopping del Sol,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Recoleta,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Recoleta,3 dormitorios,Amoblado (largo plazo),USD/mes,2700,2700,C,InfoCasas — a metros de Shopping del Sol,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Luis A. de Herrera,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Luis A. de Herrera,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Luis A. de Herrera,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Luis A. de Herrera,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Luis A. de Herrera,1 dormitorio,Tradicional (sin muebles),USD/mes,560,560,C,InfoCasas,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Luis A. de Herrera,1 dormitorio,Amoblado (largo plazo),USD/mes,650,700,C,InfoCasas / RE/MAX,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Luis A. de Herrera,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Luis A. de Herrera,2 dormitorios,Tradicional (sin muebles),USD/mes,700,700,C,InfoCasas,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Luis A. de Herrera,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Luis A. de Herrera,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Luis A. de Herrera,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Luis A. de Herrera,3 dormitorios,Amoblado (largo plazo),USD/mes,1100,1400,C,InfoCasas / MercadoProp / Red Exclusivos,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Santa María,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa María,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa María,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa María,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa María,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa María,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa María,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa María,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa María,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa María,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa María,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa María,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Sajonia,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tacumbú,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pettirossi,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Pinozá,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tembetary,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. Estigarribia,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Obrero,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Obrero,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Obrero,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Obrero,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Obrero,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Obrero,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Obrero,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Obrero,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Obrero,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Obrero,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Obrero,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Obrero,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Vista Alegre,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Nazareth,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Los Laureles,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Aurelia,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Roberto L. Petit,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Vicente,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Hipódromo,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Republicano,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Republicano,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Republicano,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Republicano,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Republicano,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Republicano,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Republicano,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Republicano,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Republicano,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Republicano,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Republicano,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Republicano,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Terminal,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
